method,seed,solution,water,deficit,excess,schedule
NSGA_II,261401,17,9.090361664685771,171.25935039552442,0.0,"[1.8747481686475553, 1.4759386362052307, 1.2865067389044476, 1.1387224927813318, 0.6130532626083883, 0.15578794791916517, 0.6225680599149699, 0.6704909923718572, 0.0, 0.8059908033881653, 0.2212299280686904, 0.042394905050956985, 0.13164824157232416, 0.05128148725268923]"
NSGA_II,261401,18,9.649022947193963,165.87583671251366,0.0,"[1.9897324681351742, 1.3965479130141834, 1.5983427846183695, 1.1988566377088354, 0.501388617631257, 1.1398103240066124, 0.09531555851646922, 0.08137215236974493, 0.633205784345958, 0.7547045833516837, 0.04739354359472972, 0.0, 0.17461764608348193, 0.037734933817464913]"
NSGA_II,261401,19,31.241478200484114,9.464118012249724,29.426442537717627,"[3.7256936552611055, 12.0, 9.179451352942731, 1.3645006469994556, 3.207467702855169, 0.1963632458736147, 0.9278916531268038, 0.16041178024029146, 0.05071040511051253, 0.11430075562139586, 0.12503202365998262, 0.16258056557510298, 0.0, 0.027074413217952346]"
NSGA_II,261401,20,25.770809910409298,33.31049617033932,0.03839410413442579,"[3.778484867544495, 7.006425418873871, 5.679937326896384, 1.7432803054765498, 4.67226618534312, 0.0, 0.16327101331782445, 0.1499858722643499, 0.04518847419511725, 2.2160258755461464, 0.13862995723076, 0.11329346868849349, 0.04591628843891714, 0.018104856593268027]"
NSGA_II,261401,21,22.857092349066832,51.840297606354326,0.0,"[3.8289358139757836, 5.341890808463298, 4.050722414200735, 1.8647924253903954, 5.026087388345431, 0.06283800565125812, 0.0, 0.29192137734876267, 0.0, 2.0058473198736153, 0.23370186889300676, 0.07663083122685926, 0.07372409569768584, 0.0]"
NSGA_II,261401,22,24.576776441472386,38.46217417187567,0.5435622734823653,"[3.8509321204725637, 9.378460196996063, 4.7518268791152165, 1.2921238803146913, 2.876027925813903, 0.20030467063272117, 1.3078142826418007, 0.19275399093273496, 0.1082421067417415, 0.40183539240200156, 0.11047363378119196, 0.0, 0.05785664739319725, 0.0481247142345588]"
NSGA_II,261401,23,28.439302594468547,18.535581339488132,3.3466590934919083,"[3.863387154326935, 5.355465535258297, 6.1118237059147305, 1.5049531568266445, 8.190023981886208, 1.8953520250662899, 0.5286559565685047, 0.0, 0.41836856599250083, 0.0, 0.34857017544540414, 0.17515764709338832, 0.0, 0.04754469008964296]"
NSGA_II,261401,24,36.92828254719073,0.0,0.0,"[4.454800924894096, 3.3731535533288874, 5.601525355227576, 1.416478612738579, 3.1846497815876567, 2.1418875380792763, 4.859941238428434, 4.059279208980316, 1.5270247458737616, 2.523520689662416, 0.9533309219639459, 0.857264172175612, 1.765889310511189, 0.20953649373898986]"
NSGA_II,261401,25,33.416750015239984,5.236766566400952,9.00631802129373,"[5.024139693934247, 7.287485587060984, 7.963259100784661, 1.2739491577729845, 4.1803242336789985, 1.035284553497234, 0.3953286835497445, 0.3320958804287989, 1.116585974541695, 1.8096608196813104, 0.6211004271913763, 0.36870078914791016, 1.8585685170891104, 0.15026659688092964]"
NSGA_II,261401,26,36.05855183060027,0.7724481693997305,44.39178787772095,"[5.069454466094854, 8.753697473530849, 10.00540730407419, 2.7081752656879736, 7.236644152500294, 0.5180069874199678, 1.053100051857007, 0.18275841110663527, 0.07657416826013258, 0.14573052696738883, 0.19522557043653394, 0.059391454824962636, 0.044958380312294675, 0.009427617527185784]"
NSGA_II,261401,27,32.429642792322504,7.0706214805323775,24.6103570751929,"[5.0888133579496575, 7.58398288399656, 8.491966593317397, 2.6014822940999753, 6.432124261629018, 0.48057639440989514, 1.0735726474351956, 0.2069970684951561, 0.025619781131593657, 0.15443534858104538, 0.20707996827713657, 0.07308512782245502, 0.0, 0.009907065177429501]"
NSGA_II,261401,28,15.95866123620929,103.14933892293155,0.0,"[5.129724906718471, 5.361238289102931, 2.249747499900136, 0.0, 0.7897825323137304, 0.22735453294601177, 0.6492915608459209, 0.5619463712697923, 0.08396674606440437, 0.43892168538109777, 0.21825383913405963, 0.13360830511006097, 0.0, 0.11482496742267198]"
NSGA_II,261401,29,24.728970162967112,37.518704975828726,0.9789142440258374,"[5.268101636026769, 6.231189814568468, 3.7216930669844137, 2.140647056491553, 6.4592826699546295, 0.0, 0.07876872289081183, 0.2619824941437987, 0.014153481615341948, 0.20417500287503756, 0.2345854955820949, 0.07726174680864954, 0.026250155961504405, 0.010878819064039614]"
NSGA_II,261401,30,36.11509666728772,0.7159033327122906,40.50882383587187,"[5.4881604684244625, 8.385155686770798, 8.622029794167377, 2.9512391679211007, 8.083403820870585, 0.030507036968552004, 1.5546523719486016, 0.15611116180537274, 0.07259678255351946, 0.24969757694780723, 0.19298459941399435, 0.16827295550916116, 0.1533108198849284, 0.006974424101455987]"
NSGA_II,261401,31,35.430979465150514,1.4000205348494994,38.77115916481773,"[5.504297911191565, 9.107709245728135, 8.16653052229001, 2.0633016309671284, 7.9883617069790755, 0.699054765651596, 0.9263022883046776, 0.11820207632371538, 0.07954777682465304, 0.2514103477121156, 0.194915865538916, 0.17123217679157204, 0.15301778415643008, 0.007095366690916697]"
NSGA_II,261401,32,36.64749277674243,0.18350722325756053,31.481116781732005,"[5.620389857532551, 8.860336779320829, 7.244661663832472, 2.3322382260485313, 5.519252618746446, 2.5040899438821995, 1.3034066457850293, 1.6407756123184194, 0.7356314082017514, 0.0, 0.5534148019886952, 0.18749301341257116, 0.1327382549344936, 0.013063950738443544]"
